rule_id,training_role,epistemic_status,kcml_activation_condition,preferred_target,weight,threshold_status,weight_status,primary_references,known_alternative_explanations,intended_use
LR01,primary_training,directly_literature_anchored_directional_rule,"HbA2 <= 3.5%",co_inheritance,1.0,directly_literature_anchored,default,"Langer2026_GeneReviews","silent or mild HBB variant; delta-thalassemia; iron-related effect; assay effect; other modifier",training_rule
LR02,primary_training,literature_anchored_alternative_phenotype_signal_operational_binary_mapping,"HbF >= 5.0%",isolated_beta_trait,1.0,directly_literature_anchored,default,"Langer2026_GeneReviews; Garner2003","HPFH; delta-beta-thalassemia; HbF modifier; phenotype outside binary label space",training_rule_with_conceptual_limitation
LR03,primary_training,literature_anchored_range_investigator_formalized_directional_rule,"MCV >= 79 fL OR MCH >= 27 pg",co_inheritance,1.0,range_boundary_from_independent_literature,default,"Langer2026_GeneReviews; Brancaleoni2016; Jalali2024_review","silent HBB variant; other modifier; assay or biological variation",training_rule
LR04,primary_training,investigator_specified_operational_hypothesis_from_independent_range_boundary,"MCV < 55 fL OR MCH < 15 pg",co_inheritance,1.0,range_boundary_from_independent_literature,default,"Langer2026_GeneReviews","iron deficiency; unusual genotype; severe modifier; analytical issue",training_rule_with_conceptual_limitation
LR05,primary_training,investigator_specified_composite_operationalization_of_literature_supported_pattern,"MCV >= 70 fL AND MCH >= 22 pg AND HbA2 > 3.5%",co_inheritance,1.5,operational_anchor_not_cohort_derived,investigator_selected,"Jalali2024_review; Langer2026_GeneReviews","other modifiers; population-specific index distributions; assay variation",training_rule
LR06,audit_only,same_source_publication_sensitivity_only,"MCV > 66.47 fL OR MCH > 21.59 pg",not_used_in_primary_training,0.0,cohort_derived_same_source,excluded_from_primary_training,"Chen2025_Huizhou","same-source threshold; not independent of evaluation cohort",audit_only
LR07,audit_only,same_source_publication_sensitivity_only,"MCV <= 56.70 fL OR MCH <= 18.30 pg",not_used_in_primary_training,0.0,cohort_derived_same_source,excluded_from_primary_training,"Chen2025_Huizhou","same-source threshold; not independent of evaluation cohort",audit_only
QC01,audit_only,engineering_quality_control,"HBA, HBA2 and HBF observed AND sum outside 97%-103%",not_diagnostic,0.0,engineering_tolerance,excluded_from_primary_training,"No diagnostic reference; quality-check only","rounding; unrepresented fraction; transcription or assay issue",quality_control
CR01,audit_only,composite_literature_audit,"LR03 AND LR01",not_used_in_primary_training,0.0,composite_audit,excluded_from_primary_training,"Langer2026_GeneReviews; Jalali2024_review","cross-family conflict",audit_only
CR02,audit_only,composite_literature_audit,"LR03 AND LR02",not_used_in_primary_training,0.0,composite_audit,excluded_from_primary_training,"Langer2026_GeneReviews; Garner2003","HbF-related modifier; phenotype outside binary label space",audit_only
